clean_textdisplay,predicted_sentiment,confidence_score
fyi aja biaya ganti baterai electric vehicle bisa setengahnya harga jual,neutral,0.99028414
klo itungitungan jangka panjang secara teori memang sih ato lebih hemat tp resiko di baterai klo baru tahun ada trobel prapesan dlu ke dealer dan itu blum tentu barangnya ada alias prapesan tu juga menghambat aktivitas pekerjaan blum lagi ketika dadakan harus keluar kota jarak jauh dengan baterai blum full yg jelas mobil listrik harus jd mobil ke artinya tetep ada mobil bermesin juga di rumah,positive,0.98554534
lontong belum tahu ada garansi baterai,positive,0.9586384
maksudnya gini lho om bateraimu meledak terus masuk bengkel ternyata stock baterai kosong harus prapesan dulu minggubrgaransi sih garansi biaya tapi mobil gak kepake minggu nah selama itu jadi nge grabgocargojek kalau cm ada mobilbrkarena dulu wuling air electric vehicle aja ada yang bannya minta ganti eh harus prapesan dulu,positive,0.99790984
dynamic ga perlu pasang wall charging pake yg gratisan dari byd aja rp,neutral,0.9764107
klo ad duit gas lah beli electric vehicle drmh sdh ad brio memang enak hemat gesit gak rugibrtp klo ad electric vehicle dg pajak trus gaush service mengisi daya aj smlm drmh tinggal tidur slsai masalah lu tinggalnpke sampe baterai busuk mgkn stgh juta km,positive,0.870937
mungkin untuk jangka th oke byd setelah tahun th tetep mobil konvensional kecuali bud gratis baterai seumur hidup ya,positive,0.82610387
keburu gk laku tu mobil hahaha tau gk mobil tahun lalu sekelas brio dijual brp jutaan hahahaha keburu ganti mobil bro tambah ancur itu brio ngakak belum lgi continuously variable transmission pasti kemungkinan besar jebol di umur segiu bahahahahhaa,positive,0.9993262
mlz swap mesin ke civic type r dong faktanya sudah ada yg swap jd tidak perlu pesimis hehe continuously variable transmission jebol beli aja gelondongan banyak,positive,0.9298049
gitu byd nya beli aja yg baru kan murah,negative,0.9897674
gundalayg diomonginkan keawetan hingga th kalo beli baru mah dah g sesuai judul wkwk,positive,0.9602816
nunggu byd dgn sodiumion baterai tahan lama dan kalau mau ganti jauh lebih murah,negative,0.9971545
apapun jenis kendarrannya kemacetanakanbertambah,neutral,0.74541503
atto sudah free portable charger,neutral,0.9909272
mobil listrik naik daun iya lahbrgara gara si bahlil stop impor bahan bakar minyak buat swasta walaupun begitu mobil bensin tetap dicaribrmobil makan minum nya kan bensin brbinatang aja bs mati klo gk makan gk minumbrpolisi ini sih shell vivo bp gk bisa jualan bensin buat ngurangin ketersediaan bensin yg ada di pasaranbrmobil bensin lo cm bs beli bidr pertaminabrbagi yg hk mau ribet lo beli dah mobil listrikbrkonoha ini politik uang bermain kekuasaan jd alat buat ancaman,neutral,0.7670211
saya tidak pasang wall charger untuk atto saya karena memang menurut saya ga perlu baterainya kecil apalagi yg tipe dynamic cuma kwh so pakai colokan biasa sudah cukupbrbroiya biaya listriknya juga cuma dan servis juga infonya cuma k setahun sekalibrbrso selisihnya bisa lebih jauh brbrtapi tetap saja untuk orang yg punya mobil untuk kedua mobil ini brio masih jadi pilihan yg realistis karena lebih praktis untuk perjalanan jauh,negative,0.94281554
mengisi daya malam diskon pln ga diitung ya padahal bisa bikin beda jauh brbrdan ga usah beli wall charger make charger portable sudah cukup charging tiap hari pemakaian hemat jt,negative,0.99453187
diskon kalau mengisi daya malam sepertinya gak semua bisa menikmati khususnya yang charger gak support ocpp seperti kamihehe,positive,0.98254323
kalo atto kami cukup mengisi daya make portable charger bawaan saja tiap hari ga perlu keluarin uang jt utk masang wc non ocpp mubazir uangnya bisa dipake masang spion rectact dan yg lain,positive,0.8896698
kalau dibuat harian di jkt maka ngitung nya beli brio ganjil genap vs attobritu baru fair,neutral,0.9979305
kalao udh k kilomana masih bisa jual jutaini butuh benarin,neutral,0.89261717
fix beli attobisa masuk surga mobilnya jadi operasional masjid,neutral,0.9815274
btw atto dapat portable charger di paket penjualannya brminusnya ya listrik harus naik tegangan va dan btw nov ini hari terakhir masa diskon naik daya brbruntuk brio jelas pasti ada biaya bensin juga untuk menuju ke spbu terdekat belum lagi kalau rame dan antri panjang yakin ac ga dinyalainbrbrjadi emang sementara ini electric vehicle satu ini masih sangat worth to own sih terlebih yg dynamic,negative,0.9956145
ga bisa buat mudik dari jawa ke sumatera,neutral,0.99641377
gw subscribe dah admin nya bacot soalnya tapi seru sih good luck min bacot lu menghibur,negative,0.9984106
kalau misal terdepresiasi masih ada jt hemat jtan,neutral,0.9953868
pillih atto lah,negative,0.9939558
sales brio bang mobil ud tahun brio laku jt masa iya mobil listrik gak laku jt maksa amat bandinginnya,positive,0.8374561
seworstny gak akan sampe gak laku lah ya kali mobil tahun dijual jt aj gak laku,positive,0.9988336
"harga suku cadangmatik utuh baru sekitar 40 juta , belum termasuk ongkos pasang , 10 tahun lagi tentu lebih mahal , 10 tahun lagi harga mobil bensin semakin hancur karena mobil bensin sudah tidak populer lagi , sedangkan mobil listrik bateray nya  10 tahun lagi akan lebih murah , karena sudah diproduksi di dalam negeri , menghemat devisa bantuan pemerintah minyak , juga bisa menjaga kebersihan lingkungan udara",negative,0.6307007
ini paling bener komennya baterai juga semakin canggih ngak harus pakai nikel,positive,0.82813054
kalau kita lihat hp sekarang bener juga,neutral,0.5482742
sebenernya yg pake transmisi bukan hanya ice electric vehicle juga ada coba cari tau kalau transmisi electric vehicle rusak berapa,positive,0.9830908
emang karena saya cari tahu belum ada yang ulas,positive,0.99658006
gw cari second land cruiser yg umur tahun juga gpp tapi gak ancur padahal nyari yg second juta,positive,0.85626745
bang jangan lupa dihitung electric vehicle bebas ganjil genap jadi bisa dipake full brio gak bebas ganjil genap ibarat bayar pajak full pake cuma separoh charging di rumah itu kwh dan pln kasih diskon di jam dan atto setelah thn ga mungkin gak ada harganya saya pilih beli atto second jt daripada motor baru harga yg sama,positive,0.46720406
gw pegang omongan lu bang beli atto jt ya taun lg setelah teknologi yang berkembang terus dan baterai health yg cenderung menurun jelas pasti electric vehicle ga ada harapannya untuk jual sekenbranggap biaya baterai setengah dari harga mobil ya klo beli bekas jt mesti siapin jt jg buat ganti baterenya,positive,0.99506134
beli aja byd e ex bluebird di jual di bekas gak laku monggo cek youtube bryah gitu lah manusia kalo cuman bacot,positive,0.9985569
itu baterai kan skrg mahal nya thn lg mgkn gak gtu lagi karena produksi nya massive jg,negative,0.9337947
iphone dlu mahal bos bisa setengah harga hp tapi nyatanya sekarang banyak yg jual baterai iphone dgn brand yg berbeda tinggal kita nya aja milih yg bagus atau yg murah itu bisa buat acun sama seperti mobil listrik yg skrg baterai mahal tp kita ga tau tahun kedepan jgn seperti dewa yg udh sok tau masa depan dan teknologi seperti apa,positive,0.98638994
analisis ini khusus untuk luar jakarta utk jakarta harus beli brio antisipasi ganjil genap biaya bengkak lagi njomplang banget,neutral,0.6058019
makanya pinteran dikit temenku dijakarta mobil punya plat dan plat itu asli ada surat tanda nomor kendaraan nya caranya gimana ya beli lewat oknum polisi biaya skitar juta,positive,0.87563896
byr pajak tahunannya gmana mau nyimak,positive,0.93030596
pinter tp nyalahin aturan bro,positive,0.99889886
wkwkwk fakta nih temen gw ketimbang beli satu innova atau fortuner dia lebih milih beli dua lcgc satu ganjil dan satu genap simply buat ngakalin ganjil genap,positive,0.69328237
dijawab bro,neutral,0.9967265
electric vehicle buat jd operasional bener dipake tiap hari mis taxol travel dllbrbuat usaha jgn dipake buat mobil keluarga keluar seminggu sekali rugi,positive,0.99023026
justru belum teruji kalo buat taxol km dipake taxi itu cuman buat tahun,positive,0.99843854
buat taxol semakin sering di mengisi daya baterai healt bisa tinggal dan akan hangus jaminan baterai thn,neutral,0.8763296
itu perkara dompet mas kalo rugi artinya dompetmu belum siapbritu sama aja macem lebih mending beli brio dari pada merci e jangan beli mercy karena rugi biayanya pasti banyak keluar service mahal dan bensin ga seirit briobrbritu menandakan dompetmu belum berotot bang mungkin masih di level ekonomi rata orang indonesia yaitu motor beat bekas itu real rata ekonomi indonesia yang bergdp hanya alias gaji dibawah jutabrjangan makan di hotel mas mahal toh sama juga makanannya bakal jadi tai juga mending makan warteg aja murah meriah kenyangbranda ini dompet berlum berotot tapi lagu nya cepat bener,positive,0.9976605
kynya ga cocok klo byd tp coba dgn vinfast vf yg ky jimny krn byd tdk di dukung dgn infrastruktur charger klo vinfast itu sdh siap dgn infrastrukturnya jd biaya isi lebih murah dan lebih cepat isi baterainya bahkan utk pembelian th ini bisa dpt gratis isi sampai th,negative,0.9943785
belum lagi hitung biaya ganti transmisi continuously variable transmission lemah kaki kaki,positive,0.96374965
iya honda continuously variable transmission nya mahal,positive,0.99911445
tapi electric vehicle baterai juga apakah awet thn bang tanpa penguurangan kapasitas,neutral,0.9002481
hrusny biaya service brio th minimal jtth bwt serive kaki sma transmisi,neutral,0.99894327
kaki kaki mobil electric vehicle juga blm tentu lebih awet dari brio kalau mau awet beli rushinova aja,negative,0.6692755
dua merugikan pemerintah soalnya pake d bantuan pemerintah segala pajak murah paling yg beli menengah k atas kbijakan yg perlu d tinjauu,positive,0.9949719
ga bantuan pemerintah nanti demo,neutral,0.6588156
karena hidup di indo dengan maraknya pejabat korupsi sehingga bahan bakar minyak jadi electric vehicle akan lebih bijak apes bgt yak sekali nya hidup di indo klo di iran bahan bakar minyak harganya,positive,0.9926515
diiran bahan bakar minyak per liter rupiah om,neutral,0.9988373
syarat yg beli electric vehicle itu gak bosenan aja,positive,0.36980468
baterai mobil electric vehicle setelah thn itu bukan berarti ga bisa dipake cuma turun health nya jadi klo rapih pemakaian nya health bisa diatas,neutral,0.9776195
saya ada air electric vehicle dan sgz primesudah pakai selama thbeli di tahun yg sama brbragar hemat pakai evbrbrdari perhitungan harian minimal jarak harus kmlibur max hari maksudnya yg tidak menempuh jarak kmbrbrlalu penggunaan minimal thbrbrkalau dibawah itu semua misalnya bosanan sama mobilmending bbmbrbrkalau jarak dibawah kmhariga begitu terasa perbedaan,negative,0.8538178
diadunya dalam rentang waktu tahun jadi sama sama ada harga bekas nya baterai byd masih ada garansi nya jg,neutral,0.8028896
garansi baterai angus kalo pindah tgn bro,neutral,0.6942268
gak angus bro wkwk saya abis beli atto second udah balik nama jg udh tanya sa nya masih dapet garansi baterai sama,positive,0.90872395
yg angus garansi seumur hidupnya,neutral,0.9373137
teknologi baterai electric vehicle terus berkembang tiap tahun makin murah baterai nokia jadul kini hanya k harga bahan bakar minyak hari ini bandingkan dengan tahun yg lalu naik wajib turun mustahil,neutral,0.9291253
pas baterai rusak nangis,positive,0.9978229
kan ada garansi rusak itu hal wajar ga cuma baterai mesin juga bisa rusak,positive,0.99848074
elektronik ya ada masanya to bang lu beli hp baterai juga bisa rusak bisa meleduk intinya kalau budget pasan mah gausah ngarep banyak dan harus paham resikonya,positive,0.81152815
om coba hitungannya pake jarak km selama tahun aja sesuai masa garansi baterai byd atto dgn asumsi thn ke baterai soak gak layak pakai bagaimana hasilnya apakah masih sebesar itu selisih hematnya,positive,0.9970831
lho itu kan itunganya tahun ke mobil dibuang dan brio masih bisa djual itu aja masih hemat membuang atto,positive,0.856598
ga dibuang juga gpp tuh atto karena tahun ke itu bukan ga bisa dipakek tapi turun aja dari menjadi,positive,0.9634721
"boil2 electric vehicle china naik daun, punya desain futuristik cantik lagi murah!! byd atto 1 yg laku 900 unit itu,  masa mau dilawan sama brio agya sirion baleno aplg espresso ya jepang desainnya mulai ketinggalan effort jepang mulai lamban ",negative,0.72744477
selisih cuman sedikit tp gak perlu ngantri lama isi listrik di stasiun pengisian kendaraan listrik umum atau mengisi daya lama dirumah semua bengkel juga bisa handle tiba bu cepet laku kembali lg tetep lebih unggul ice,negative,0.9984016
ngomongin bu hidup kita gak ada yg tau persis kedepannya gmn jd ada benernya jg faktor bu dipertimbangkan saat beli ini itu,positive,0.7711886
apalagi kelas ini bukan kelas yg keuangan nya sdh stabil masih kaum mendang mending istilahnya,positive,0.9965174
gk usah di hitung carhger rumah hitung mengisi daya di luar aja lbh hemat,negative,0.86629033
untuk data hitungannya kurang akurat brio paling dapet di kml sama diisi pertalite rb klo atto konsumsinya di kmkwh klo liat dri ulasan,neutral,0.9622518
tahun ke depan atto sudah gak bisa dipake karena ganti baterai mahal brio masih bisa dipakai tapi udah gak ada yang mau beli karena sudah gak jaman lagi mobil bensin,positive,0.983496
haha ga update info ni sales mobil listrik fyi harga baterai makin lama makin murah durable n safe ditambah atto ga ada biaya maintenance itung aja sendiri dah,negative,0.9349019
ganti baterai mahal ya gak usah diganti anggap aj ud parah baterai tinggal masih bisa jalan km per hari koq,positive,0.99879223
tanya motor penggerak mobil apakah ada servisnya karena aku dulu main tamiya aja rotor dinamo bisa panas dan rusak itu bagaimana berapa harga gantinya,positive,0.7954636
sistemnya mirip dinamo lebih simple dan mudah kalo rotornya dripada teknologi mobil bensinbrsecara gampangnya cek aja threephase dynamo pada industri mirip lah kerjanya seperti itu,negative,0.707751
mobil listrik di indonesia hanya bisa sukses kalau ada aturan kendaraan ice harus digeprek kalau udah berusia tahun dikasih kompensasi juta buat potongan ganti belikredit mobil listrik,neutral,0.9734485
semua mobil kalau jual bekasnya bikin sakit hatibrberkali kali saya sakit hati mulai toyota sampai suzuki kalibrsekilas depresiasi mobil jepang dikit tapi nilai didalamnya mahal sekali perawatan ada aja mulai yang rutin sampai yang gak disangka rusaknya belum pajaknya waduuhh th vitara saya juta lebihbrjadi jangan dilihat harga jualnya yang masih bagus coba diitung pengeluaran selama itubryang gak bisa dibandingkan dengan mobil listrik adalah nyamannya gak bisa didapat di mobil ice,positive,0.9961863
makanya beli mobil petrolhead wkwkwk ice bagus but pajak muahal electric vehicle bagus but baterai jebol harus beli mobila lagi,negative,0.99424285
blm siap buat punya mobil sih ini mau pake mobil jepang ataupun china juga tetep ngeluh apalagi punya mobil eropa beuhh bundir lu nya wkwkkw,positive,0.9992955
om transmisi alphard cuman juta transmisi vw cuman juta,neutral,0.9985354
barang konsumtif apapun dijual pasti rugi ga ada untung emas aja bisa turun per gramnya saham juga rumah yg ga akan turun harganya termasuk apartemen kelas menengah ke atas kalau beli jgn mikir harga jualnya turun setelah pakai thn kecuali dulu thn lalu beli mobil masih disimpan masih bisa jalan dirawat nah bisa jadi mobil klasik harga jual tinggi bisa seharga mobil baru,positive,0.49507183
rumah dimana dulu bang jenis apa dulu kalau kompleknya blangsak kondisi kompleknya awuran dijamin gak bakal bisa dijual lagi brjadi beli rumah kalau kompleknya ada tanda penurunan kapasitas baterai segera jualbrrumah yang beneran stabil harganya itu rumah yang tidak tercatut pada komplek tertentu kalaupun didalam komplek setidaknya kondisi fisik komplek iuran sosial dan maintenancenya stabil kalo bisa upgrade bukan downgradebrlokasi menentukan prestasi,positive,0.56810915
hitung biaya setelah tahun beli baterai baru mungkin juga mobil electric vehicle nya,neutral,0.9950653
saya sih yakin bakal banyak bermunculan jasa penggantian baterai tanpa ganti semuanya,negative,0.96346205
ralat bang atto udah dapet charger portable bawaan dari dealer jadi gk perlu pasang wallcharger baru cukup pasang baru aja meteran rumah minimal va seharga jt btw gw pengguna atto agak tersinggung kalo harga jualnya gk laku anjirr lu bang minimal jt pasti laku lah,positive,0.91155237
siap terima kasih infonya portable charger emang semua atto dapet yah bukan bonus dari sales seriusan va kuat bukannya portable charger biasanya kw yahwaduh ampun banghahasoalnya kalo mau bilang harga jualnya berapa gak ada referensinya yakali screenshot an comment abang ditempel terus bilang bakal laku jtauto dibully dahhahaa,positive,0.9972209
adek saya mengisi daya air electric vehicle dirumahnya tanpa pasang wall charger tapi listrik rumahnya watt ya realistis ajalah kalo rumah cuman w pake portable charger bawaan ditambah lambat coi charging adek saya pake untuk sekedar nambah misalkan udah mepet ke kalo saya dirumah pasang wall charger karena dapet dari beli byd yaa dibilang dapet padahal masuk dari biaya beli ya mana ada gratis tis wall charger enak karena cepat isinya,negative,0.9936892
serius om manual ga ada power di tanjakan kirain yang continuously variable transmission aja,positive,0.99836475
wah mantab terima kasih infonya berarti portable charger emang semua pembeli atto akan dapet yah bukan bonus dari salesnyabrbrkalau untuk biaya listrik yes betul tarif dasar listriknya per kwh tapi kalau kita beli token listrik ada biayabiaya lain seperti pju dll yang gak bisa kita hindari jadi kalau kita beli token misalnya yang rp jt kita gak dapet kwh jt dibagi tapi kita dapetnya kwh jt dibagi an nah untuk dapat discount listrik untuk mengisi daya malam hari juga gak semua bisa nikmatin terutama yang wall charger gak support ocpp seperti kamihikshiksjadi yah dihiitung tarif normal aja deh,positive,0.5823932
udah ada om byd yg dijual murah coba cek byd jenis suv yg dipakai sama bluebird udah dijual sampai jt ttp gak dilirik sama orng artinya klo punya mobil listrik jngn berharap dijual lg krn gak bakal ada harganya,positive,0.9961903
liat pideonya ga sih om uda jelas di pideo perhitungannya itu nol rupiah untuk harga jual kembali dan kalo ada electric vehicle suv bekas blue bird harga jt saya mau dong dibantu untuk link penjualannya dengan harga segitu sepertinya saya masih mampu untuk beli lumayan untuk antar jemput anak sekolah,negative,0.9430084
dimana belinyaboleh minta hp ctc personmurah dari sepeda motor,neutral,0.96752065
bagi kaum menang mending sprti sy lebih baik brio lah alasan nya pertama sudah teruji dan perawatan tidak mahal sperpart mudah harga jual mudah depresi asi tidak terlalu dalam klo byd yg blm tau mahalnya harga baterai klo nanti mau ganti emang pasti di ganti krn baterai ada masa kadaluwarsa nya dan harga baterai mahal untuk kaum menang mending lebih baik mobil bensin apa lagi infrastruktur di indonesia untuk electric vehicle blm cocok oya mobil listrik harga jual anjlok parah ini fakta,positive,0.9939758
kayanya semua yang mas nya komen udah ada semua deh di video kok masih di jelasin lagi mas,positive,0.9964629
kadang bingung emang yang pada komen soal baterai apalagi harga jual bekas uda jelas di pideo nya dikasih perhitungan terburuk untuk electric vehicle aedalah nol rupiah padahal,positive,0.9981998
mabok,positive,0.9990246
ini yang komen charging di stasiun pengisian kendaraan listrik umum lama dan di daerah rumahnya gak ada stasiun pengisian kendaraan listrik umum emang rumahnya blm ada listrik ya atau rumahnya di dalem gang senggol,positive,0.6545137
tahun lg pasti ada baterai teknologi terbaru sekarng sudah dikembabgkan baterai elektrolit padat ganti baterai thn lg dengan harga misal jutaan udh jarak tempuh bisa sampai km dengan baterai elektrolit padat terbaru dan pengisian cepat menit udh bs,negative,0.97817755
nah ini baru bener makin lama teknologi bstre makin murah durable safe jd ga make sense kalo masih mobil bensin skrg,positive,0.9840136
bentar lagi baterai garam gan china udah produksi massalbrbrmakin turun dah harga mobil listrik,positive,0.64249945
tidk fair harga jualnya klw ga dihitung coba berpikir lebih luas bisa liat contoh electric vehicle yang udah ada di pasar bekas liat depresiasinya dan prediksi ke byd udah bisa dapet,negative,0.51915604
harga jual kembali aja selisihnya jomplang apalagi dikasih harga jual kembali,positive,0.5785956
fyi byd atto dapat portable charger tidak perlu beli wall charger jg ga masalah selama di rumah pasang grounding saya habis sejutaan pasang groundingbrbrjangan lupa aki mobil mobil normalnya ganti tiap tahun,neutral,0.90266526
minimal an pln ngasih saran cuma akan lebih baik buka kwh meter baru nambah an kwh,neutral,0.7317254
second electric vehicle jeblok sm diskon mobil electric vehicle baru beli electric vehicle sekali pakai smp busuk jgn harap jual second ice second dipake msh awet bertahun harga terjangkau bisa dijual lg buat ambil secondan ice lainnya,negative,0.94605815
kan di video udh dibilang harga jual kembali electric vehicle diasumsi rp bang jadi asumsi buangdisedekahkan ini aja masih murah electric vehicle,positive,0.90056396
lah situ masih beli sekennya kalau mobil listrik bisa beli baru walaupun harga jualnya nol rupiah karena harga barunya murah,negative,0.9253653
terima kasih intinya kalau pemakaiannya kurang dari km bln saat ini mobil bensin lebih ekonomis tapi kalau konsepnya zero emisi udara jika membangun solar cell akan berbeda brbrbagus perbandingannya,negative,0.9709146
lebih ekonomis dari mana,negative,0.9855671
mobil bensin solar pakek ataupun tidak tetap ada mentenennya,neutral,0.988247
byd atto mobil paling laku bulan kemarin,neutral,0.9763158
ga di bahas diskon sales mobil nya brio diskon minimal juta ini akhir tahun malahan bisa pengajuan sampe jt apalg penjualan byd atto lg kuat nya mungkin pengajuan bisa lebih tinggi yah karena honda kena pressure dr atto jaecoo meanwhilte byd atto ga ada diskon malahan prapesan ini pandangan nya kurang netral karena dia ngaku pakai mobil listrik ya pasti merangkap user jadi sales biar electric vehicle car tetap eksis biar mobil nya ga cepet amat turun nya,positive,0.96559536
"terus bandingin jual kembali value nya di 10tahun?? wkwkwk woii lu ukur electric vehicle 2tahun aja rontoknya udh kyk gimana? wuling air electric vehicle, hyundai ioniq, kona. gausa jauh2 10 tahun ukur 2-3tahun aja tuh electric vehicle gda demand nya. jadi mobil rongsok. enteng bgt ngomong nya ",positive,0.9988232
ya elah ngor longor tahun electric vehicle rontok itu yg lagi di bahas byd bukan brand lain data ga perlu datadata an kau naik aja itu blue bird byd e di situ jangan kaget udah banyak oddo yg tembus rb km baterai health masih kalau pemakaian normal cuman rb km itu byd bisa tembus tahunan jadi itu byd e kirakira udah bisa jadi acuan belom buat seluruh lini unit byd ngor longor,positive,0.82737446
garansi dipake lag mas broo kalo rusak msa ente gk pake garansi taun lagi brio yang kau banggakan itu emang bakal laku hahaha udah tau harga mobil bensi tahun lgi bakal lebih ancur karena perubahan ke electric vehicle bahahaha brcoba jelasin gmn,positive,0.9963877
mobil bensin skr yg bekas udah murah karena serangan electric vehicle apalagi th lagi bisa brio loe jadi tugu,positive,0.9057932
gundala udh liat brio di marketplace search nya brio depresiasi nya lu banding sm wuling air electric vehicle atau kona deh atau hyundai ioniq dehh ah cape susah penyefong electric vehicle pdhl setiap tahun ada brand electric vehicle yg tumbang di indonesia,positive,0.9965037
sudah dihitung biaya ngopingafe setiap kali nunggu charging mobilnya nggak nih,neutral,0.5632401
eh kan di video charging dirumah,neutral,0.8540242
skrng ini cash kisaran jt,neutral,0.9795808
ini e continuously variable transmission baru atau second,positive,0.9970067
lah atto sudah dapet portable charger gratis tinggal mengisi daya tinggal tidur besok paginya udah full lagibrbuat apa masang wall charger jt jt bisa dipake buat bayar tagihan listrik buat jatah charging sampe berapa tahun itu,neutral,0.94946826
wah mantab nih infonya portable charger kw yah berarti buat yang dirumahnya masih ada sisa daya kw bisa langsung mengisi daya atau kalau gak tinggal ajukan pasang baru ke pln tanpa beli charger dan perintilannya lumayan mungkin bisa saving lebih dari nya,negative,0.9970119
benar saya sudah charger portable dirumah dah kalidengan atto jd gk beli wall chargermasih okay koqpagi sudah full,neutral,0.92107415
charger kw a tapi dari headunit atto bisa di adjust kalo mau mengisi daya dibawah itu pilihan nya ada kw a kw a tinggal disesuaikan dengan daya listrikmeteran masingmasing,neutral,0.9959122
yg masih ngeganjel sih harga baterai kalau setelah tahun ternyta harus ganti dsni ongkos ganti baterai gak di masukin mungkin krna emang blm tau tapi katanya yananya ke ai perkiraan internasional berdasarkan sumber di luar negeri biaya penggantian baterai blade lfp kwh yang digunakan pada atto aja diperkirakan sekitar rp juta hingga rp juta jika sudah di luar masa garansi kalo atto berapa ya,positive,0.66158825
baterai electric vehicle generasi terbaru sekarang terdiri dari beberapa cell jadi kalau bh kurang dari bukan berarti harus ganti seluruhnya untuk umur baterai tidak dihitung berdasarkan kilometer tapi cycle rata bertahan cycle artinya kalau setiap jalan km di mengisi daya bisa bertahan xkm km kalau tiap km bisa bertahan km,negative,0.6298489
baru baca klaim byd baterai tahan sampai jt km gokil juga ya tp emang karna masih awal jadi blm tau bener apa engga mungkin nunggu bbrp tahun kedepan dlu mau lihat perkembangan electric vehicle ini jjur emang ngiler sama cost pemakaian nya yg murah banget fitur nya jauh jg di atas brio si atto ini hanya kurang suka sama model depan kumis mas adam nya aja,negative,0.8804537
tpgbsaya puas dengan mg sekarang prapesan lagi jaecoo seumpama dipakai tahun lalu dibuang sekalipun ngga rugi dibandingin pakai hrv setahun hemat bahan bakar minyak jt pajak jt servis jt dalam tahun hemat sekitar jt saya beli jaecoo jt seumpama tahun lagi bisa jual mobil bekas nya diatas jt saja artinya sudah lebih ekonomis dibanding hrv,negative,0.99754214
bahas batrinys kalok drop,positive,0.99773836
pake brio ga pernah dapat di atas kml matic,positive,0.99124604
gw juga sering ngitung kyknya sulit di atas kml karna wajib pake ac klo tanpa ac bisa kyknya,neutral,0.7111383
brio apalagi continuously variable transmission boros nya minta ampun pdhl ccbrlebih boros dari yaris lele gw pdhl ccbrsama continuously variable transmission itu,positive,0.9985474
" beda bang baterai mobil listrik dan hp. di mobil listrik ada sistem pendingin yg menjaga suhu 24 jam. kapan saja terjadi panas berlebih sistem akan nyala otomatis, termasuk saat isi baterai. makanya saat isi baterai mobil listrik suka ada suara kan. nah itu sistem pendingin nyala. perbedaan sederhana ini sangat membedakan lifetime baterai mobil listrik dibanding baterai elektronik lain. jangankan handphone. motor listrik vs mobil listrik aja bisa sangat beda lifetimenya karena ada sistem ini. pertanyaannya kenapa ga semua sistem baterai dikasih sistem pendingin ini ? jawabannya karena butuh",positive,0.5884324
bsalah satu yang tidak saya suka dari mobil listrik adalah banyak kejadian mobil meledak tanpa penjelasan yang jelas kenapa bisa meledak kemudian dari info yang saya denger info mobil yang meledak ini sebenarnya bisa lebih banyak tapi ditutup tutupi oleh atpm kita cari yang aman aman ajalahb brkemudian lagi kalau gue mudik dari jkt ke medan yang jarak sekira km stasiun pengecasannya nggak ada bro sebagian besar rute yang dilalui adalah hutan jadi harus mikir lagi kalau mau beli brbrmaaf lho ini bukan ngejelekin tapi murni pikiran gue keamanan is number one,positive,0.99644667
narasi memang bukan buat anda yg kaum mendang mendingev adalah buat anak jaman nowtentunya buat yg mendukung polisi udara,positive,0.79458064
gampangnya klo setahun kurang dari rb km prefer brio calya klo di atas rb km prefer atto klo sering kena ganjil genap ya ga usah mikir pake aja atto,negative,0.48402765
betul cara memiliki mobil listrik itu beda dengan mobil biasa jadi bukan mana yang lebih oke tapi mana yang lebih cocok,positive,0.78494275
teman sy beli byd m jadi lebih sering keluar wkwkwk mngkn krn murah biayanya jd kebiasaan berubah jg,negative,0.95995975
gongnya pas ganti baterai,neutral,0.98824674
ice pas ganti gear box,neutral,0.9929813
lcgc skrg udah gak semenarik awal pernah punya brio dari dijual tahun lalu laku an depresiasi nya rendah sekalibruntuk harga sekarang ya jelas pilih byd ngapain keluar jt dapetnya brio,positive,0.87797326
brio mobil sampah jomplang ama byd atto,positive,0.99768186
mending ambil brio bekas nya yang kalau sya hemat juta,neutral,0.9938356
aktualnya pada beli pertalite awkwkwk,positive,0.88865846
ampun deh lcgc itu program pemerintah dekade lalu jangan dipertimbangkan lagi lah jaman sudah berubah,positive,0.99917114
lahh,negative,0.99742645
servis di honda mana ada cm brp juta tiap rb habis saya dporotin jt keatas,neutral,0.7602974
honda accord bro atau honda beat,neutral,0.99858737
rs,positive,0.60784996
ngarang bin pembual,positive,0.9993438
bg jgn lupa listrik ada loss nya jg brp persen biarpun kecil salam user hyundai ioniq,neutral,0.84951454
naah iya betul setujuu terima kasih udah diingatkan sepertinya lain waktu perlu dibahas juga yah biar gak dikira meteran pln nya yang errorhehe,positive,0.9402392
nah kalau lu kerja tinggal di bodetabek tp kerja di jkt maka mobil electric vehicle pasti lebih untung untung dari bahan bakar minyak untung dr surat tanda nomor kendaraan belum lg ganjil genap tp perbandingannya ga bisa th mobil electric vehicle hanya th baterai lifenya ga cukup mungkin di th ke sisa dan itu ga melanggar klausul waranty tp itu electric vehicle ga bisa ke daerah lu bisa stuck di tempat pengisian baterai jam brserba salah dimana electric vehicle hemat utk yg tinggal dibodetabek tp harus diperhitungkan di thnx akhir dimana baterai life sisa dikit dan harga jual mungkin sisa rupiah atau harga ampas alloybrsedangkan si lcgc kalah di biaya bahan bakar minyak dan ga lcgc bisa dipakai sampai ke bali dan belahan dunia manapun dengan isi bahan bakar minyak mnt dan harga jual balik yg kuatbrasumsi saya kalau anda pakai electric vehicle utk jarak dekatx rugi tp kalau bodetabek elu untung yg penting sehari pakai km,negative,0.6149312
